ZIP_CODE,INCIDENT_TYPE_DESC,INCIDENT_DATE_TIME,Group_Count
99999.0,"300 - Rescue, EMS incident, other",2015,2947
11207.0,"300 - Rescue, EMS incident, other",2016,2902
11207.0,"300 - Rescue, EMS incident, other",2017,2889
11207.0,"300 - Rescue, EMS incident, other",2015,2848
99999.0,"300 - Rescue, EMS incident, other",2017,2824
10456.0,"300 - Rescue, EMS incident, other",2015,2799
11212.0,"300 - Rescue, EMS incident, other",2017,2788
11212.0,"300 - Rescue, EMS incident, other",2016,2667
11233.0,"300 - Rescue, EMS incident, other",2015,2656
11206.0,"300 - Rescue, EMS incident, other",2015,2648
11207.0,"300 - Rescue, EMS incident, other",2013,2636
11212.0,"300 - Rescue, EMS incident, other",2015,2624
10456.0,"300 - Rescue, EMS incident, other",2016,2575
99999.0,"300 - Rescue, EMS incident, other",2016,2549
11207.0,"300 - Rescue, EMS incident, other",2014,2542
99999.0,"300 - Rescue, EMS incident, other",2014,2527
11206.0,"300 - Rescue, EMS incident, other",2017,2489
11206.0,"300 - Rescue, EMS incident, other",2016,2463
10456.0,"300 - Rescue, EMS incident, other",2013,2462
10456.0,"300 - Rescue, EMS incident, other",2014,2423
11208.0,"300 - Rescue, EMS incident, other",2017,2423
11221.0,"300 - Rescue, EMS incident, other",2015,2417
11221.0,"300 - Rescue, EMS incident, other",2013,2410
11233.0,"300 - Rescue, EMS incident, other",2016,2404
11208.0,"300 - Rescue, EMS incident, other",2016,2401
11208.0,"300 - Rescue, EMS incident, other",2015,2386
10456.0,"300 - Rescue, EMS incident, other",2017,2362
11226.0,"300 - Rescue, EMS incident, other",2015,2319
10458.0,"300 - Rescue, EMS incident, other",2015,2318
11233.0,"300 - Rescue, EMS incident, other",2014,2310
11221.0,"300 - Rescue, EMS incident, other",2016,2279
10002.0,"300 - Rescue, EMS incident, other",2017,2274
11226.0,"300 - Rescue, EMS incident, other",2016,2266
10002.0,"300 - Rescue, EMS incident, other",2015,2261
11233.0,"300 - Rescue, EMS incident, other",2017,2255
11221.0,"300 - Rescue, EMS incident, other",2014,2231
11221.0,"300 - Rescue, EMS incident, other",2017,2218
11206.0,"300 - Rescue, EMS incident, other",2014,2217
11226.0,"300 - Rescue, EMS incident, other",2017,2206
10002.0,"300 - Rescue, EMS incident, other",2016,2205
10458.0,"300 - Rescue, EMS incident, other",2016,2204
10457.0,"300 - Rescue, EMS incident, other",2015,2199
11212.0,"300 - Rescue, EMS incident, other",2013,2193
11208.0,"300 - Rescue, EMS incident, other",2014,2157
11208.0,"300 - Rescue, EMS incident, other",2013,2155
11201.0,"300 - Rescue, EMS incident, other",2017,2154
11233.0,"300 - Rescue, EMS incident, other",2013,2152
11212.0,"300 - Rescue, EMS incident, other",2014,2137
10458.0,"300 - Rescue, EMS incident, other",2014,2133
10002.0,"300 - Rescue, EMS incident, other",2013,2115
11226.0,"300 - Rescue, EMS incident, other",2013,2103
11201.0,"300 - Rescue, EMS incident, other",2016,2079
11201.0,"300 - Rescue, EMS incident, other",2015,2071
10458.0,"300 - Rescue, EMS incident, other",2017,2067
10035.0,"300 - Rescue, EMS incident, other",2015,2054
11206.0,"300 - Rescue, EMS incident, other",2013,2042
10457.0,"300 - Rescue, EMS incident, other",2016,2024
10002.0,"300 - Rescue, EMS incident, other",2014,2013
10029.0,"300 - Rescue, EMS incident, other",2017,2005
99999.0,"300 - Rescue, EMS incident, other",2013,1994
11226.0,"300 - Rescue, EMS incident, other",2014,1980
10029.0,"300 - Rescue, EMS incident, other",2016,1979
10458.0,"300 - Rescue, EMS incident, other",2013,1972
10453.0,"300 - Rescue, EMS incident, other",2015,1961
10457.0,"300 - Rescue, EMS incident, other",2013,1958
10451.0,"300 - Rescue, EMS incident, other",2015,1952
11201.0,"300 - Rescue, EMS incident, other",2014,1916
10029.0,"300 - Rescue, EMS incident, other",2015,1914
10453.0,"300 - Rescue, EMS incident, other",2016,1911
10467.0,"300 - Rescue, EMS incident, other",2015,1906
10460.0,"300 - Rescue, EMS incident, other",2016,1874
10457.0,"300 - Rescue, EMS incident, other",2014,1870
10457.0,"300 - Rescue, EMS incident, other",2017,1869
10460.0,"300 - Rescue, EMS incident, other",2015,1859
10453.0,"300 - Rescue, EMS incident, other",2017,1856
11201.0,"300 - Rescue, EMS incident, other",2013,1854
10453.0,"300 - Rescue, EMS incident, other",2014,1799
10467.0,"300 - Rescue, EMS incident, other",2016,1783
11216.0,"300 - Rescue, EMS incident, other",2015,1782
10451.0,"300 - Rescue, EMS incident, other",2016,1780
10003.0,"300 - Rescue, EMS incident, other",2015,1748
11373.0,"300 - Rescue, EMS incident, other",2015,1746
11235.0,"300 - Rescue, EMS incident, other",2017,1743
10029.0,"300 - Rescue, EMS incident, other",2014,1742
10451.0,"300 - Rescue, EMS incident, other",2017,1740
10027.0,"300 - Rescue, EMS incident, other",2015,1736
11235.0,"300 - Rescue, EMS incident, other",2016,1735
10455.0,"300 - Rescue, EMS incident, other",2015,1733
10003.0,"300 - Rescue, EMS incident, other",2013,1727
10029.0,"300 - Rescue, EMS incident, other",2013,1720
10460.0,"300 - Rescue, EMS incident, other",2017,1712
10452.0,"300 - Rescue, EMS incident, other",2015,1709
10009.0,"300 - Rescue, EMS incident, other",2015,1708
11224.0,"300 - Rescue, EMS incident, other",2016,1702
10003.0,"300 - Rescue, EMS incident, other",2014,1700
11235.0,"300 - Rescue, EMS incident, other",2015,1694
10009.0,"300 - Rescue, EMS incident, other",2013,1683
10009.0,"300 - Rescue, EMS incident, other",2014,1683
11214.0,"300 - Rescue, EMS incident, other",2016,1666
10035.0,"300 - Rescue, EMS incident, other",2016,1660
10453.0,"300 - Rescue, EMS incident, other",2013,1651
10455.0,"300 - Rescue, EMS incident, other",2016,1632
11214.0,"300 - Rescue, EMS incident, other",2017,1630
10451.0,"300 - Rescue, EMS incident, other",2014,1628
10452.0,"300 - Rescue, EMS incident, other",2016,1623
11373.0,"300 - Rescue, EMS incident, other",2016,1621
10027.0,"300 - Rescue, EMS incident, other",2016,1620
11213.0,"300 - Rescue, EMS incident, other",2016,1616
11224.0,"300 - Rescue, EMS incident, other",2017,1614
11373.0,"300 - Rescue, EMS incident, other",2013,1608
10009.0,"300 - Rescue, EMS incident, other",2016,1606
11216.0,"300 - Rescue, EMS incident, other",2017,1606
10027.0,"300 - Rescue, EMS incident, other",2017,1604
10467.0,"300 - Rescue, EMS incident, other",2017,1600
10003.0,"300 - Rescue, EMS incident, other",2017,1599
11203.0,"300 - Rescue, EMS incident, other",2015,1592
11216.0,"300 - Rescue, EMS incident, other",2016,1591
10009.0,"300 - Rescue, EMS incident, other",2017,1591
10025.0,"300 - Rescue, EMS incident, other",2015,1579
10455.0,"300 - Rescue, EMS incident, other",2017,1572
10027.0,"300 - Rescue, EMS incident, other",2013,1567
10016.0,"300 - Rescue, EMS incident, other",2015,1565
10035.0,"300 - Rescue, EMS incident, other",2017,1565
11214.0,"300 - Rescue, EMS incident, other",2015,1563
11213.0,"300 - Rescue, EMS incident, other",2015,1563
10314.0,"300 - Rescue, EMS incident, other",2017,1559
10001.0,"300 - Rescue, EMS incident, other",2015,1557
10467.0,"300 - Rescue, EMS incident, other",2014,1557
11224.0,"300 - Rescue, EMS incident, other",2015,1554
10025.0,"300 - Rescue, EMS incident, other",2017,1553
11435.0,"300 - Rescue, EMS incident, other",2017,1548
11211.0,"300 - Rescue, EMS incident, other",2016,1546
10460.0,"300 - Rescue, EMS incident, other",2014,1545
11235.0,"300 - Rescue, EMS incident, other",2014,1543
