,ZIP_CODE,UNITS_ONSCENE
72,10009.0,207.0
19,11211.0,168.0
78,10005.0,149.0
38,10035.0,148.0
8,11219.0,126.0
33,11222.0,111.0
10,10016.0,111.0
96,10031.0,105.0
99,10007.0,104.0
126,10128.0,90.0
92,11373.0,90.0
105,11101.0,90.0
80,11208.0,87.0
94,11419.0,87.0
68,10457.0,86.0
61,11372.0,85.0
87,11237.0,84.0
50,10025.0,84.0
67,11207.0,83.0
145,10466.0,83.0
111,11235.0,80.0
36,10460.0,77.0
142,11367.0,74.0
97,10010.0,70.0
37,10027.0,70.0
9,10451.0,70.0
93,10463.0,70.0
104,10039.0,69.0
108,11216.0,68.0
45,10003.0,67.0
32,10011.0,67.0
83,11429.0,66.0
30,11226.0,64.0
100,10029.0,63.0
47,10024.0,63.0
14,10462.0,63.0
54,10467.0,61.0
34,11354.0,61.0
60,10301.0,60.0
3,11103.0,60.0
65,10002.0,58.0
4,11385.0,58.0
133,11217.0,57.0
62,10019.0,55.0
208,10031,55.0
141,10453.0,54.0
120,10012.0,54.0
118,10305.0,54.0
0,10454.0,54.0
110,10306.0,53.0
122,11379.0,53.0
20,11234.0,53.0
79,10309.0,53.0
1,10036.0,53.0
148,11415.0,53.0
112,11433.0,52.0
55,10474.0,52.0
12,10458.0,52.0
18,99999.0,52.0
23,11214.0,52.0
82,11356.0,51.0
29,10465.0,51.0
7,10472.0,51.0
69,11203.0,50.0
135,11357.0,50.0
106,10028.0,50.0
21,10304.0,49.0
193,10460,49.0
147,11417.0,49.0
13,10038.0,49.0
40,10456.0,48.0
151,10310.0,47.0
48,11420.0,47.0
85,11218.0,46.0
52,11212.0,46.0
138,11416.0,45.0
117,11204.0,45.0
76,11421.0,45.0
24,11221.0,45.0
109,11230.0,44.0
28,10040.0,44.0
17,10314.0,44.0
6,10001.0,44.0
129,11229.0,44.0
176,11371,43.0
128,11225.0,43.0
140,10302.0,43.0
146,11355.0,43.0
139,10471.0,43.0
91,11432.0,42.0
41,10014.0,42.0
26,11224.0,41.0
155,11228.0,40.0
101,11368.0,40.0
107,11205.0,39.0
59,10308.0,39.0
121,10033.0,38.0
73,11238.0,38.0
5,11215.0,38.0
64,10017.0,37.0
57,11236.0,37.0
84,11375.0,37.0
153,10470.0,37.0
102,10026.0,37.0
51,11206.0,36.0
71,10021.0,36.0
74,10013.0,36.0
282,11211,36.0
90,11378.0,36.0
89,11233.0,35.0
123,11220.0,35.0
22,10459.0,35.0
81,10312.0,35.0
150,11413.0,34.0
46,11691.0,34.0
196,11205,34.0
134,11210.0,33.0
103,11434.0,33.0
56,10022.0,32.0
191,10463,32.0
154,11436.0,32.0
130,10473.0,32.0
77,10475.0,32.0
11,10452.0,32.0
239,10002,32.0
86,10461.0,32.0
116,11361.0,32.0
113,11377.0,31.0
88,11106.0,31.0
157,11366.0,31.0
132,11223.0,31.0
44,11213.0,31.0
43,10303.0,31.0
70,10455.0,30.0
119,11232.0,30.0
2,11418.0,30.0
25,11201.0,30.0
53,10023.0,30.0
75,11414.0,30.0
125,11422.0,30.0
98,10030.0,29.0
115,10468.0,29.0
323,10303,29.0
165,11239.0,29.0
58,11369.0,29.0
161,11360.0,28.0
124,11423.0,28.0
243,10457,28.0
31,10018.0,27.0
174,11004.0,27.0
172,11430.0,27.0
162,11412.0,27.0
156,11692.0,26.0
229,10021,26.0
66,11209.0,26.0
296,11224,25.0
317,10474,25.0
35,10032.0,25.0
171,10004.0,25.0
170,11363.0,25.0
164,10464.0,24.0
334,10006,24.0
39,11435.0,24.0
168,11697.0,24.0
27,10307.0,24.0
242,10451,23.0
166,11251.0,22.0
114,10034.0,22.0
15,11231.0,22.0
344,11411,22.0
42,11694.0,22.0
63,11374.0,21.0
159,11411.0,21.0
173,10020.0,21.0
131,11426.0,21.0
336,10005,21.0
143,11693.0,21.0
95,11102.0,20.0
228,10029,20.0
152,11365.0,20.0
16,10469.0,20.0
137,10037.0,20.0
163,11358.0,20.0
136,11105.0,20.0
169,10280.0,19.0
167,10006.0,19.0
250,10467,19.0
215,10024,19.0
310,10304,18.0
219,11207,17.0
233,10033,17.0
328,10027,17.0
265,10013,17.0
297,11229,17.0
186,10022,17.0
49,11104.0,16.0
311,11231,16.0
274,11232,16.0
127,11364.0,16.0
347,10038,16.0
188,10453,15.0
158,11362.0,15.0
313,11225,15.0
289,11237,15.0
343,11357,15.0
268,11208,14.0
295,10036,14.0
279,11220,14.0
232,10306,14.0
262,11206,14.0
235,10040,14.0
244,11221,14.0
217,10301,14.0
160,11370.0,14.0
205,11238,14.0
200,11236,14.0
350,10470,14.0
144,11428.0,14.0
184,11106,14.0
149,11427.0,14.0
190,10011,14.0
192,11434,14.0
290,11219,13.0
349,11358,13.0
302,11385,13.0
325,11413,13.0
253,11212,13.0
257,10454,13.0
258,11234,13.0
324,11372,13.0
267,11105,13.0
185,11214,13.0
207,10472,13.0
226,11203,13.0
224,11218,13.0
220,11377,13.0
335,10465,13.0
288,11435,12.0
194,11355,12.0
260,10023,12.0
179,10035,12.0
270,11103,12.0
329,11210,12.0
326,11369,12.0
333,10014,12.0
247,10461,12.0
281,11421,12.0
199,10452,12.0
318,11412,12.0
231,10314,12.0
308,10034,12.0
245,11423,11.0
304,10018,11.0
187,11368,11.0
218,11204,11.0
222,11201,11.0
271,11222,11.0
209,11373,11.0
312,11416,11.0
293,10030,11.0
246,10001,11.0
202,11420,11.0
236,10012,11.0
237,10025,11.0
238,10459,11.0
300,11692,11.0
306,10462,11.0
201,10456,11.0
322,11694,10.0
252,99999,10.0
216,11226,10.0
249,11216,10.0
195,11230,10.0
210,11233,10.0
182,11101,9.0
327,11102,9.0
314,11417,9.0
354,11697,9.0
294,11415,9.0
321,10309,9.0
254,10009,9.0
273,11422,9.0
256,11356,9.0
197,11235,9.0
225,10032,9.0
263,10128,9.0
264,11217,9.0
204,10019,8.0
255,10017,8.0
227,10466,8.0
287,11414,8.0
272,10469,8.0
211,10473,8.0
266,10307,8.0
278,10458,7.0
342,11104,7.0
240,11213,7.0
305,11215,7.0
223,11228,7.0
251,11691,7.0
280,11239,7.0
299,11367,7.0
291,11223,7.0
332,10310,7.0
331,11693,7.0
213,10475,7.0
339,11371,7.0
214,10468,7.0
292,10305,7.0
337,11251,7.0
348,11360,6.0
341,10028,6.0
356,10020,6.0
351,11363,6.0
320,11429,6.0
330,10037,6.0
340,11426,6.0
352,11366,6.0
346,10004,6.0
355,10280,6.0
180,11364,6.0
319,11362,6.0
203,11419,6.0
241,10003,6.0
234,10302,6.0
230,11361,6.0
221,11209,6.0
212,11354,6.0
206,10308,6.0
198,11375,6.0
259,11432,6.0
189,11379,6.0
183,11433,6.0
181,10016,6.0
178,10044,6.0
177,11451,6.0
175,11005.0,6.0
316,10471,6.0
248,10007,6.0
286,11436,6.0
284,10312,6.0
309,10464,6.0
307,11427,6.0
303,11370,6.0
301,10039,6.0
298,10026,6.0
261,11374,6.0
285,11418,6.0
283,11004,6.0
277,10455,6.0
276,10010,6.0
275,11378,6.0
269,11428,6.0
315,11365,6.0
345,11430,5.0
353,11451,5.0
358,11209-0000,4.0
338,11005,1.0
357,10044,1.0
359,10691,1.0
