ZIP_CODE,Group_Count
99999.0,7451
10456.0,6439
10029.0,5538
11212.0,5512
11207.0,5507
10002.0,5295
11206.0,4944
11201.0,4844
10451.0,4571
10027.0,4518
11208.0,4504
10457.0,4499
11221.0,4464
11226.0,4387
10458.0,4329
10467.0,4292
11233.0,4259
10453.0,4221
11211.0,4185
10025.0,3928
10003.0,3733
10016.0,3653
10009.0,3626
10035.0,3559
10021.0,3459
10454.0,3441
10452.0,3432
10460.0,3353
10314.0,3347
11236.0,3288
11203.0,3285
11213.0,3267
11234.0,3256
10472.0,3174
10469.0,3165
10001.0,3087
10468.0,3045
10455.0,3020
10019.0,3011
10032.0,2996
11101.0,2947
11216.0,2889
11235.0,2875
11373.0,2873
11385.0,2863
10463.0,2849
11224.0,2833
11230.0,2821
11691.0,2817
10473.0,2791
11229.0,2724
10036.0,2715
10031.0,2663
10011.0,2657
10462.0,2608
10466.0,2606
10459.0,2605
11214.0,2563
11220.0,2562
10022.0,2560
11434.0,2553
11210.0,2532
11368.0,2522
11432.0,2481
10013.0,2457
11215.0,2421
10026.0,2405
11217.0,2394
11435.0,2371
11223.0,2316
10304.0,2307
11205.0,2269
11354.0,2260
10024.0,2258
11377.0,2257
11237.0,2241
11209.0,2228
11238.0,2199
10461.0,2116
10306.0,2111
11433.0,2108
10017.0,2069
10301.0,2068
10023.0,2028
10030.0,2027
10033.0,1991
10475.0,1984
11225.0,1960
11219.0,1959
10010.0,1914
10018.0,1903
10465.0,1892
11204.0,1884
11375.0,1870
11231.0,1863
11218.0,1825
10305.0,1813
11355.0,1765
10312.0,1744
10012.0,1675
10014.0,1669
10039.0,1658
10040.0,1656
11413.0,1624
11420.0,1590
11372.0,1527
11419.0,1490
11222.0,1453
10034.0,1419
11412.0,1387
11106.0,1377
10128.0,1344
11414.0,1315
11367.0,1314
11378.0,1307
11365.0,1306
11418.0,1264
10310.0,1236
11374.0,1221
11103.0,1186
10038.0,1140
10309.0,1135
11357.0,1134
10028.0,1133
11102.0,1131
10037.0,1115
11417.0,1107
11422.0,1102
11228.0,1088
10303.0,1078
10007.0,1037
11694.0,1031
11421.0,1017
11232.0,1008
11423.0,1004
11364.0,991
11436.0,979
11105.0,952
10302.0,932
11379.0,932
10474.0,929
10471.0,919
11369.0,879
11416.0,863
11358.0,855
11429.0,854
11411.0,852
11361.0,801
10308.0,786
11426.0,755
11239.0,732
11692.0,703
11693.0,693
99999,690
11360.0,671
11356.0,668
10004.0,662
11427.0,633
11362.0,602
10456,593
11104.0,586
11415.0,564
11370.0,525
10029,515
11207,508
11428.0,480
11212,463
10005.0,456
10470.0,455
11206,436
10453,428
10457,422
11201,422
10467,413
10451,411
10307.0,403
11208,399
10458,398
10002,396
10027,384
10025,375
11226,373
10452,366
10006.0,363
11233,351
11221,348
10454,347
11211,342
10009,341
10464.0,338
10469,328
10035,319
10468,317
10472,315
11203,304
10003,304
11236,294
11224,290
11366.0,284
10314,283
10016,279
11004.0,279
11234,278
10460,273
11385,272
10021,270
10466,269
10019,269
10032,265
11235,264
10036,263
11101,261
10001,261
11213,259
11368,251
10031,249
10463,247
11216,247
10473,243
11373,242
10459,240
11435,239
10022,238
11691,230
10455,228
11363.0,228
11230,225
10462,225
11220,225
10013,217
11434,217
10011,213
11223,208
11432,206
10304,203
10024,201
11375,200
11237,199
10026,199
11697.0,198
11214,197
11210,195
11217,194
11433,193
11229,192
11205,191
10033,190
11215,189
11430.0,188
11218,188
10475,185
10465,185
10301,184
10461,184
11238,181
10023,179
10030,177
11377,176
11354,174
10017,169
10305,167
10040,165
11231,163
10014,162
11209,161
11355,160
11225,159
10306,158
10018,158
10034,151
11419,150
10312,149
11219,149
11413,145
11372,144
11420,143
11204,142
10280.0,139
10010,137
10012,136
10020.0,135
10039,132
11106,131
11222,130
10128,124
11412,123
11418,117
11417,116
11414,113
10310,110
11365,110
11103,108
10309,108
11374,107
11422,102
11694,102
11362,101
11367,99
11357,98
11102,98
11228,97
10038,96
11378,95
11251.0,95
11421,94
11423,92
10037,91
10474,88
10007,87
10302,85
11005.0,85
10303,82
11105,80
11232,79
11369,79
10028,76
11436,75
11361,71
11426,70
11379,69
11358,68
11364,68
11416,67
10471,67
11429,65
11427,64
11693,64
11411,63
11692,59
10308,58
11360,55
11356,52
11370,49
11239,48
11104,46
10470,45
11415,44
10004,41
10005,38
10464,38
10307,36
11428,35
10006,30
11004,30
11697,28
11366,27
10020,17
11363,13
10280,12
11451,11
11430,10
11005,10
11371,8
11251,8
10044,3
11451,2
10044,1
11371,1
11209-0000,1
